ocn1	canonical_name	wikipedia_name	person	people_raw	wikipedia_article	moves_san	moves_uci	source_tier	evidence_grade	already_attributed	citation
B.CaK.Adv.Bot	Caro-Kann Advance, Botvinnik-Carls	Arkell	Keith Arkell; Igor Khenkin	Keith Arkell and Igor Khenkin	Keith Arkell; Igor Khenkin	1.e4 c6 2.d4 d5 3.e5 c5	e2e4 c7c6 d2d4 d7d5 e4e5 c6c5	book	attested		<ref>{{cite book|title=New in Chess: Yearbook 42|publisher=New in Chess|year=1997}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.KID.Avk	KID, Averbakh	Averbakh System of the King's Indian Defence	Yuri Averbakh	Yuri Averbakh	Yuri Averbakh	1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Be2 0-0 6.Bg5	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5	book	attested		<ref name="Victor Bologan">{{cite book|last=Bologan|first=Victor|title=A Complete Black Repertoire|publisher=Chess Stars|year=2009|isbn=978-954-8782-71-5}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Rat.Bal	Rat Defence, Balogh	Balogh Defense	János Balogh	János Balogh	János Balogh (chess player)	1.e4 d6 2.d4 f5	e2e4 d7d6 d2d4 f7f5	web	attested		<ref>{{cite web|url=http://www.chesscafe.com/text/kaiss13.pdf|title=Symmetry and Chaos: Balogh's Defense|last=Bucker|first=Stefan|publisher=ChessCafe.com|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Ret.d5.g3	Réti, King's Indian Attack Setup	Barcza System	Gedeon Barcza	Gedeon Barcza	Gedeon Barcza	1.Nf3 d5 2.g3	g1f3 d7d5 g2g3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Bar	Barnes Opening	Barnes Opening	Thomas Wilson Barnes	Thomas Wilson Barnes	Thomas Wilson Barnes	1.f3	f2f3	oxford-companion	attested		<ref name="Oxford Companion">{{Citation|surname1=Hooper|given1=David|authorlink1=David Vincent Hooper |surname2=Whyld|given2=Kenneth|authorlink2=Ken Whyld|title=The Oxford Companion to Chess |year=1992 |edition=second |publisher=Oxford University Press |isbn=0-19-866164-9|title-link=The Oxford Compa -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Brg	Borg Defence	Basman Defence	Michael Basman	Michael Basman	Michael Basman	1.e4 g5	e2e4 g7g5	web	attested		<ref>{{cite web|url=http://www.365chess.com/opening.php?m=3&n=1204&ms=e4.g5|title=B00: Reversed Grob (Borg/Basman defence/macho Grob)|publisher=365Chess.com|accessdate=2009-10-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Nf3.Bec	King's Gambit Accepted, Becker Defence	Becker Defense of the King's Gambit	Albert Becker	Albert Becker	Albert Becker (chess player)	1.e4 e5 2.f4 exf4 3.Nf3 h6	e2e4 e7e5 f2f4 e5f4 g1f3 h7h6	web	attested		<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Eng.Rev.Nc3.Nf6.Nf3.b5	English King's English, Bellon Gambit	Bellon Gambit	Juan Manuel Bellón López	Juan Manuel Bellón López	Juan Manuel Bellón López	1.c4 e5 2.Nc3 Nf6 3.Nf3 e4 4.Ng5 b5	c2c4 e7e5 b1c3 g8f6 g1f3 e5e4 f3g5 b7b5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Ben.Bnk	Benko / Volga Gambit	Benko Gambit	Pal Benko	Pal Benko	Pal Benko	1.d4 Nf6 2.c4 c5 3.d5 b5	d2d4 g8f6 c2c4 c7c5 d4d5 b7b5	book	attested	yes	<ref>{{cite book|last=Benko|first=Pal|title=The Benko Gambit|publisher=Batsford|year=1974}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Hng	Hungarian Opening	Benko's Opening	Pal Benko	Pal Benko	Pal Benko	1.g3	g2g3	book	attested		<ref>{{cite book|last=Mednis|first=Edmar|title=How Karpov Wins|publisher=Courier Dover Publications|year=1994}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Bir	Ruy López, Bird Variation	Bird Defense of the Ruy Lopez	Henry Bird	Henry Bird	Henry Bird (chess player)	1.e4 e5 2.Nf3 Nc6 3.Bb5 Nd4	e2e4 e7e5 g1f3 b8c6 f1b5 c6d4	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=C61|title=Ruy Lopez, Bird's Defense (C61)|publisher=ChessGames.com|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Bir	Bird's Opening	Bird's Opening	Henry Bird	Henry Bird	Henry Bird (chess player)	1.f4	f2f4	encyclopaedia	attested	yes	<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Ita.Nd4	Italian Game, Blackburne-Kostić Gambit	Blackburne Shilling Gambit	Joseph Henry Blackburne	Joseph Henry Blackburne	Joseph Henry Blackburne	1.e4 e5 2.Nf3 Nc6 3.Bc4 Nd4	e2e4 e7e5 g1f3 b8c6 f1c4 c6d4	web	attested		<ref>Wilhelm Steinitz, ''The Modern Chess Instructor'' (1889, reprinted 1990), Edition Olms AG, Zürich, p. xii. {{ISBN|3-283-00111-1}}.</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.Bgm.Cap.Nc3	Blackmar-Diemer Gambit, Nc3	[[Blackmar	Armand Blackmar; Emil Josef Diemer	Armand Blackmar and Emil Josef Diemer	Armand Blackmar; Emil Josef Diemer	1.d4 d5 2.e4 dxe4 3.Nc3	d2d4 d7d5 e2e4 d5e4 b1c3	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Bog	Bogo-Indian Defence	Bogo-Indian Defence	Efim Bogoljubov	Efim Bogoljubov	Efim Bogoljubov	1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+	d2d4 g8f6 c2c4 e7e6 g1f3 f8b4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Ind.Tgo	Indian Game, Black Knights' Tango	Bogoljubov Defense	Efim Bogoljubov	Efim Bogoljubov	Efim Bogoljubov	1.d4 Nf6 2.c4 Nc6	d2d4 g8f6 c2c4 b8c6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Cls.Bol	Sicilian Classical, Boleslavsky Variation	Boleslavsky Variation of the Sicilian Defence	Isaac Boleslavsky	Isaac Boleslavsky	Isaac Boleslavsky	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2 e5	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1e2 e7e5	oxford-companion	attested		<ref name="Oxford Companion"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KPO.Ke2	King's Pawn Game, Bongcloud Attack	Bongcloud Attack	Chess.com	Chess.com user Lenny_Bongcloud, who used this opening many times, and kept losing	Chess.com	1.e4 e5 2.Ke2	e2e4 e7e5 e1e2	web	attested		<ref>{{Cite web |title=King's Pawn Opening: The Bongcloud – Chess Openings – Chess.com |url=https://www.chess.com/openings/Kings-Pawn-Opening-The-Bongcloud}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Nf3.Bon	King's Gambit Accepted, Bonsch-Osmolovsky Variation	Bonsch-Osmolovsky Defense of the King's Gambit	Mikhail Bonsch-Osmolovsky	Mikhail Bonsch-Osmolovsky		1.e4 e5 2.f4 exf4 3.Nf3 Ne7	e2e4 e7e5 f2f4 e5f4 g1f3 g8e7	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessgame?gid=1259983|title=Morant vs. Abbe de Feuquieres, Paris 1680, King's Gambit: Accepted. Bonsch-Osmolovsky Variation (C34)|publisher=ChessGames.com|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Bre	Ruy López, Brentano Gambit	Brentano Defense of the Ruy Lopez	Franz Brentano	Franz Brentano	Franz Brentano	1.e4 e5 2.Nf3 Nc6 3.Bb5 g5	e2e4 e7e5 g1f3 b8c6 f1b5 g7g5	web	attested		<ref>{{cite web|url=http://www.chess-poster.com/english/chesmayne/brief_notes_on_the_history_of_chess_1900_1.htm|title=Brief notes on the history of Chess 1900 1|publisher=Chess-Poster.com|accessdate=2009-10-28|archive-url=https://web.archive.org/web/20091007220615/http://www.chess-poster.com/englis -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Bre	King's Gambit Accepted, Breyer Gambit	Breyer Variation of the King's Gambit	Gyula Breyer	Gyula Breyer	Gyula Breyer	1.e4 e5 2.f4 exf4 3.Qf3	e2e4 e7e5 f2f4 e5f4 d1f3	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Kings-Gambit-Accepted-Breyer-Gambit|title=King's Gambit: Accepted, Breyer Gambit (C33)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KPO.Kgt.Qe7	King's Knight Opening, Gunderam Defence	Camara Defense	International Master; Hélder Câmara	International Master Hélder Câmara	International Master; Hélder Câmara (chess player)	1.e4 e5 2.Nf3 Qe7	e2e4 e7e5 g1f3 d8e7	web	attested		<ref>CÂMARA, Hélder. Diagonais: crônicas de xadrez. São Paulo : Saraiva, 1996. {{ISBN|978-8502021167}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.CaK	Caro-Kann Defence	[[Caro	Horatio Caro; Marcus Kann	Horatio Caro and Marcus Kann	Horatio Caro; Marcus Kann	1.e4 c6	e2e4 c7c6	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Car	King's Gambit Accepted, Carrera Gambit	Carrera Gambit of the King's Gambit	Pietro Carrera	Pietro Carrera	Pietro Carrera	1.e4 e5 2.f4 exf4 3.Qh5	e2e4 e7e5 f2f4 e5f4 d1h5	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Kings-Gambit-Accepted-Carrera-Gambit|title=King's Gambit Accepted: Carrera Gambit (C33)|publisher=Chess.com|accessdate=2023-03-31}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Mod.d4.cxd4.Qxd4	Sicilian Modern, Chekhover Variation	Chekhover Variation of the Sicilian Defence	Vitaly Chekhover	Vitaly Chekhover	Vitaly Chekhover	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Qxd4	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 d1d4	web	attested		<ref name="Sicilian">{{cite web|url=http://www.365chess.com/opening.php?m=3&n=3&ms=e4.c5|title=B20: Sicilian defence|publisher=365Chess.com|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.Chi	Chigorin Defence	Chigorin Defence of the Queen's Gambit	Mikhail Chigorin	Mikhail Chigorin	Mikhail Chigorin	1.d4 d5 2.c4 Nc6	d2d4 d7d5 c2c4 b8c6	encyclopaedia	attested	yes	<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Fre.Qe2	French Defence, Chigorin Variation	Chigorin Variation of the French Defence	Mikhail Chigorin	Mikhail Chigorin	Mikhail Chigorin	1.e4 e6 2.Qe2	e2e4 e7e6 d1e2	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Clm	Clemenz Opening	Clemenz Opening	Hermann Clemenz	Hermann Clemenz	Hermann Clemenz	1.h3	h2h3	oxford-companion	attested		<ref name="Oxford Companion"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Pet.Coc	Petrov, Cochrane Gambit	Cochrane Gambit of the Petrov's Defence	John Cochrane	John Cochrane	John Cochrane (chess player)	1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nxf7	e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f7	book	attested		<ref>{{cite book|last=Raetsky|first=Alexander|author2=Chetverik, Maxim|title=Petroff Defence|publisher=Everyman Chess|year=2005|isbn=1-85744-378-0}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.QPG.Zuk.Nf6.e3	Zukertort Queen's Pawn, e3	Colle System	Edgard Colle	Edgard Colle	Edgard Colle	1.d4 d5 2.Nf3 Nf6 3.e3	d2d4 d7d5 g1f3 g8f6 e2e3	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Ita.Two.Ng5.Pol.Bb5.Col	Italian, Two Knights Defence, Colman Variation	Colman Variation of the Two Knights Defense	Eugene Ernest Colman	Eugene Ernest Colman	Eugene Ernest Colman	1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Na5 6.Bb5+ c6 7.dxc6 bxc6 8.Qf3 Rb8	e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 c4b5 c7c6 d5c6 b7c6 d1f3 a8b8	book	attested		<ref>{{cite book|last=Urcan|first=Olimpiu|title=Surviving Changi. E.E. Colman: A Chess Biography|publisher=Singapore Heritage Society|year=2007|isbn=978-981-05-7922-7}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Coz	Ruy López, Cozio Defence	Cozio Defence of the Ruy Lopez	Carlo Cozio	Carlo Cozio	Carlo Cozio	1.e4 e5 2.Nf3 Nc6 3.Bb5 Nge7	e2e4 e7e5 g1f3 b8c6 f1b5 g8e7	web	attested		<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Nf3.Cun	King's Gambit Accepted, Cunningham Defence	Cunningham Defense of the King's Gambit	Alexander Cunningham	Alexander Cunningham	Alexander Cunningham (jurist)	1.e4 e5 2.f4 exf4 3.Nf3 Be7	e2e4 e7e5 f2f4 e5f4 g1f3 f8e7	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Dam	Damiano Defence	Damiano Defence	Pedro Damiano	Pedro Damiano although he gave the refutation rather than endorsing it	Pedro Damiano	1.e4 e5 2.Nf3 f6	e2e4 e7e5 g1f3 f7f6	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Damiano-Defense|title=King Pawn Game: Damiano Defense (C40)|publisher=Chess.com|accessdate=2022-08-27}}</ref> <ref>traditionally attributed to [[Ruy López de Segura]]</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Kad	Kádas Opening	Desprez Opening	Marcel Desprez	Marcel Desprez		1.h4	h2h4	book	attested		<ref>{{cite book|author=McDonald, Neil|title=Concise Chess Openings|publisher=Everyman|year=2001|isbn=1-85744-297-0|author-link=Neil McDonald (chess player)}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Ind.e6.Nf3.Ne4	Indian Defence, Doery Indian	Döry Defence	Ladislaus Döry	Ladislaus Döry		1.d4 Nf6 2.c4 e6 3.Nf3 Ne4	d2d4 g8f6 c2c4 e7e6 g1f3 f6e4	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Van	Van Geet Opening	Dunst Opening	Ted A. Dunst	Ted A. Dunst		1.Nc3	b1c3	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Mor.Ba4.d6.c4	Ruy López Modern Steinitz, c4	Duras Variation of the Ruy Lopez	Oldřich Duras	Oldřich Duras	Oldřich Duras	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 5.c4	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 c2c4	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Ruy-Lopez-Opening-Morphy-Defense-Modern-Steinitz-Defense-5.c4|title=Ruy Lopez: Morphy Defense, Duras Variation (C77)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Sod	Sodium Attack	Durkin Opening	Robert Durkin	Robert Durkin		1.Na3	b1a3	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Eis	King's Gambit Accepted, Eisenberg Variation	Eisenberg Gambit of the King's Gambit	Louis Eisenberg	Louis Eisenberg	Louis Eisenberg	1.e4 e5 2.f4 exf4 3.Nh3	e2e4 e7e5 f2f4 e5f4 g1h3	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Kings-Gambit-Accepted-Eisenberg-Variation|title=King's Gambit: Accepted, Eisenberg Variation (C30)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Egl	Englund Gambit	Englund Gambit	Fritz Englund	Fritz Englund	Fritz Englund	1.d4 e5	d2d4 e7e5	book	attested		<ref>{{cite book |author1=Smith, Ken |author2=Hall, John |name-list-style=amp| title=The Englund Gambit and the Blackburne-Hartlaub Gambit Complex | publisher=Chess Digest| year=1994 | isbn=0-87568-242-1}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Ita.Evn	Italian, Evans Gambit	Evans Gambit	William Davies Evans	William Davies Evans	William Davies Evans	1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4	e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Bud.Faj	Budapest, Fajarowicz Variation	Fajarowicz Variation of the Budapest Gambit	Sammi Fajarowicz	Sammi Fajarowicz	Sammi Fajarowicz	1.d4 Nf6 2.c4 e5 3.dxe5 Ne4	d2d4 g8f6 c2c4 e7e5 d4e5 f6e4	book	attested		<ref>{{cite book|last=Gutman|first=Lev|title=Budapest Fajarowicz: The Fajarowicz-Richter Gambit in Action|publisher=Batsford|year=2004|isbn=0-7134-8708-9}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Dec.Fal	King's Gambit Declined, Falkbeer	Falkbeer Countergambit of the King's Gambit	Ernst Falkbeer	Ernst Falkbeer	Ernst Falkbeer	1.e4 e5 2.f4 d5	e2e4 e7e5 f2f4 d7d5	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Nf3.Fis	King's Gambit Accepted, Fischer Defence	Fischer Defense of the King's Gambit	Bobby Fischer	Bobby Fischer	Bobby Fischer	1.e4 e5 2.f4 exf4 3.Nf3 d6	e2e4 e7e5 f2f4 e5f4 g1f3 d7d6	web	attested		<ref>Bobby Fischer, "A Bust to the King's Gambit", ''American Chess Quarterly'', Vol. 1, No. 1 (Summer 1961), pp. 3–9.</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Sco.Cls.Sch.Nc2	Scotch Classical Schmidt, Meitner	Fleissig Variation of the Scotch Game	Bernhard Fleissig	Bernhard Fleissig	Bernhard Fleissig	1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Bc5 5.Be3 Qf6 6.c3 Nge7 7.Nc2	e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 c1e3 d8f6 c2c3 g8e7 d4c2	web	attested		<ref name="WallBill">{{cite web|url=http://www.geocities.com/siliconvalley/lab/7378/opening.htm|title=List of chess openings |last=Wall|first=Bill|accessdate=2009-10-28|archiveurl=https://web.archive.org/web/20091028034035/http://www.geocities.com/siliconvalley/lab/7378/opening.htm|archivedate=2009- -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Eng.Mik	English Opening, Mikėnas-Carls	Flohr	Salo Flohr; Vladas Mikėnas	Salo Flohr, Vladas Mikėnas and Carl Johan Margot Carls	Salo Flohr; Vladas Mikėnas	1.c4 Nf6 2.Nc3 e6 3.e4	c2c4 g8f6 b1c3 e7e6 e2e4	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessgame?gid=1093119|title=Efim Bogoljubov vs. Aron Nimzowitsch, English Opening: Anglo-Indian Defense. Flohr-Mikenas-Carls Variation|publisher=ChessGames.com|accessdate=2009-10-31}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
