ocn1	canonical_name	asked_as	moves_san	person	clause	role	rival	verdict
A.Hol.Cls.IZh	Dutch Classical, Ilyin-Zhenevsky	Ilyin-Genevsky Variation	1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 0-0 6.0-0 d6 7.Nc3 Qe8	Alexander Ilyin-Genevsky	253, a standard line, sometimes called the Old Dutch, in the DUTCH DEFENCE which first became popular in the 1 920s	popularised	none	clause
B.Sic.Sch.Krs	Sicilian Scheveningen, Keres Attack	Keres Attack	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.g4	Paul Keres	524 in the same opening, a sound attacking line played Keres-Bogoljubow, Salzburg 1 943, and sometimes called the Keres--Panov or Panov Variation.	originated	Panov	clause
B.Sic.Ker	Sicilian, Keres Variation	Keres Variation	1.e4 c5 2.Ne2	Paul Keres	459 in the SICILIAN DEFENCE	originated	none	clause
C.RyL.Mor.Opn.Nc3	Ruy López Open, Knorre Variation	Knorre Variation	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Nxe4 6.Nc3	Viktor Knorre	708, a dubious line in the SPANISH OPENING played in the 1 870s by the Russian-born astronomer Victor Knorrc ( 1 840 - 1 9 1 9)	popularised	none	clause
C.Ita.Evn.Acc.Stn.O-O.Las	Evans Accepted Steinitz, Lasker Defence	Lasker Defence	1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.0-0 d6 7.d4 Bb6	Emanuel Lasker	886, played in the game ChigorinLasker, St Petersburg 1 895 - 6, and usually regarded as the most solid way of defending the EVANS GAMBIT Accepted.	popularised	Bourdonnais	clause
E.Gru.Rus.Hng.e4.b6	Grünfeld Russian Hungarian, b6	Levenfish Variation	1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 0-0 7.e4 b6	Grigory Levenfish	383, line in the GRUNFELD DEFENCE abandoned because of the reply 8 e5	condemned	none	clause
E.KID.Mak	KID, Makogonov	Makogonov System	1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.h3	Vladimir Makogonov	4 1 0 in the KING'S INDIAN DEFENCE.	originated	none	clause
D.Sem.Mar.MLn	Semi-Slav Marshall, Main Line	Marshall Gambit in the Semi-Slav Defense	1.d4 d5 2.c4 e6 3.Nc3 c6 4.e4 dxe4 5.Nxe4 Bb4+ 6.Bd2	Frank Marshall	The first was introduced by MARSHALL at Monte Carlo 1904	originated	none	clause
D.Tar.Mar	Tarrasch, Marshall Gambit	Marshall Gambit	1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.e4	Frank Marshall				no-answer
B.Sic.Fre.d4.d5	Sicilian French, Marshall Counterattack	Marshall Variation	1.e4 c5 2.Nf3 e6 3.d4 d5	Frank Marshall	560, line in the SICILIAN DEFENCE given by JAENISCH	first-published	none	clause
E.Ben.Mod.Fou.Mik	Modern Benoni Four Pawns, Mikėnas	Mikenas Variation	1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.e5	Vladas Mikėnas	Mikenas Variation, 285, a sharp attacking line in the MODERN BENONI espoused by MIKENAS from the mid- 1 950s	popularised	none	clause
B.Sic.Nim	Sicilian, Nimzowitsch Variation	Nimzowitsch Variation	1.e4 c5 2.Nf3 Nf6	Aron Nimzowitsch	56 1 in the SICILIAN DEFENCE, the second, sometimes called the Rubinstein, or Klyatskin Defence, and a precursor to the ALEKHINE DEFENCE ( 1 248), from Spielmann-Nimzowitsch, San Sebastian 1 9 1 1 .	popularised	Rubinstein, Klyatskin	clause
E.KID.Cls.Pet	KID Classical, Petrosian	Petrosian Variation	1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 0-0 6.Be2 e5 7.d5	Tigran Petrosian	399, a line in the KING'S INOIAN DEFENCE known since the 1 920s but much used by Petrosyan in conjunction with 8 Bg5, if permitted by Black's response (sec STEIN)	popularised	none	clause
C.KGm.Acc.Kie.Be7	Kieseritzky Gambit, Be7	Polerio Defense	1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Be7	Giulio Cesare Polerio	1 1 57 in the KIESERITZKY GAMBIT, also known as the Paulsen Variation. or the Salvio Polcrio Defence, is also in a Polcrio manuscript, but may be the idea of a contemporary, Giovanni Domenico.	unclear	Giovanni Domenico	clause
C.Fou.Spa.Rub	Four Knights Spanish, Rubinstein	Rubinstein Variation	1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Nd4	Akiba Rubinstein	853 in the FOUR KNIGHTS OPENING, played by MARSHALL, TEICHMANN, and SCHLECHTER around 1 903, but named on account of its successful use by Rubinstein in 1 9 1 2;	popularised	Marshall, Teichmann, Schlechter	clause
E.KID.Sml	KID, Sämisch	Sämisch Variation	1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f3	Friedrich Sämisch	299 and 396, standard lines in the NIMZO-INDIAN (see GREEK GIFT; RAGOZIN; SAMISCH) and KING'S INDIAN DEFENCES (see BYRNE; DESPERAU<>; LILIENTHAL; LOMBARDY) respectively, advocated and practised by SAMISCH, perhaps his most important contribution to the game.	recommended	none	clause
E.Gru.Rus.Hng.e4.Bg4	Grünfeld Russian Hungarian, Bg4	Smyslov Variation	1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 0-0 7.e4 Bg4	Vasily Smyslov	377 in the GRUNFELD DEFENCE, favoured by Smyslov in the 1 950s, and 386, a similar variation;	popularised	none	clause
B.Fre.e5	French Defence, Steinitz Attack	Steinitz Attack	1.e4 e6 2.e5	Wilhelm Steinitz	1 245, variation in the FRENCH DEFENCE given by cozIO and played six times ( + 4 = I - I )  by Steinitz at the Vienna tournament of 1 882.	popularised	Cozio	clause
B.Sic.LDu	Sicilian, Lasker-Dunne Attack	Steinitz Variation	1.e4 c5 2.g3	Wilhelm Steinitz	566 in the SICILIAN DEFENCE, tried by Steinitz in his l 2th match game against ANDERSSEN in 1 866 but played only rarely, e .g. by TARTAKOWER, after whom it is sometimes named	originated	Tartakower	clause
B.Sic.Tay	Sicilian Taimanov	Taimanov Variation	1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6	Mark Taimanov	55 1 , with the idea of following by Ra8-a7-b7	popularised	none	clause
B.Fre.Win	French, Winawer	Winawer Variation	1.e4 e6 2.d4 d5 3.Nc3 Bb4	Simon Winawer	One of the most popular lines in the FRENCH DEFENCE, 1 1 84. White, needing to do something about the threatened e-pawn, usually advances it to e5. This leads to a BLOCKADE in which White has chances on the king's-side, and will gain the TWO BISHOPS if Black plays Bxc3, while Black has counterplay on the queen's-side. Black's third move, played twice by KOLISCH against PAULSEN in their match of l 86 I , was analysed in detail by Hirschbach in Schach::eitung, 1 867, and later by ALAPIN. The name may have arisen from WINAWER's having played it against STEINITZ at Paris I 867, and three times at 	popularised	Nimzowitsch	clause
