ocn1	canonical_name	wikipedia_name	place	relation	moves_san	moves_uci	source_tier	evidence_grade	already_attributed	citation
A.Ret.f6	Zukertort Opening, Arctic Defence	Arctic Defense of the Zukertort Opening	Arctic	named-after-place	1.Nf3 f6	g1f3 f7f6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Mor.Ark	Ruy López Morphy, Arkhangelsk	Arkhangelsk Defense (or Archangel Defense) of the Ruy Lopez	Arkhangelsk	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 b5 6.Bb3 Bb7	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 c8b7	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Fre.Win.Arm.b4	French Winawer Armenian, b4 Line	Armenian Variation of the French Defense	Armenian	named-after-place	1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.a3 Ba5 6. b4 cxd4	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4a5 b2b4 c5d4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Aus	Australian Defence	Australian Defense	Australian	named-after-place	1.d4 Na6	d2d4 b8a6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.KGm.Acc.Nf3.KKn.Bc4.Aus	King's Gambit Accepted, Australian Gambit	Australian Gambit of the King's Gambit	Australian	named-after-place	1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.h4	e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4 g5g4 h2h4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Pir.Aus	Pirc, Austrian Attack	Austrian Attack in the Pirc Defense	Austrian Pirc	alias-candidate	1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.QPG.c4.c5	Queen's Gambit, Austrian Defence	Austrian Defense of the Queen's Gambit Declined	Austrian	named-after-place	1.d4 d5 2.c4 c5	d2d4 d7d5 c2c4 c7c5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.QGD.Bal	QGD, Baltic Defence	Baltic Defense of the Queen's Gambit Declined	Baltic	named-after-place	1.d4 d5 2.c4 Bf5	d2d4 d7d5 c2c4 c8f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Pol.Bal	Polish Opening, Baltic Defence	Baltic Defense of the Polish Opening	Baltic	named-after-place	1.b4 d5 2.Bb2 Bf5	b2b4 d7d5 c1b2 c8f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Van	Van Geet Opening	Baltic Opening (or Dunst Opening)	Baltic	alias-candidate	1.Nc3	b1c3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Mor.Ba4.Nf6.O-O.Bas	Ruy López, Closed, Basque Gambit	Basque Gambit of the Ruy Lopez	Basque	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Be7 6.d4 exd4 7.e5 Ne4 8.c3	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d2d4 e5d4 e4e5 f6e4 c2c3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.KPO.c4.d5	King's Pawn Game, Bavarian Gambit	Bavarian Gambit	Bavarian	named-after-place	1.e4 e5 2.c4 d5	e2e4 e7e5 c2c4 d7d5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Mor.Ba4.Nf6.Bxc6	Ruy López Morphy Nf6, Bayreuth	Bayreuth Variation of the Ruy Lopez	Bayreuth	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.Bxc6	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 a4c6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Fou.Sco.Bel	Four Knights Scotch, Belgrade Gambit	Belgrade Gambit of the Four Knights	Belgrade	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4 exd4 5.Nd5	e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 e5d4 c3d5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Ber	Ruy López, Berlin Defence	Berlin Defense of the Ruy Lopez	Berlin	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6	e2e4 e7e5 g1f3 b8c6 f1b5 g8f6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Ber.O-O.Bc5	Ruy López Berlin Castled, Classical Bishop	Beverwijk Variation of the Ruy Lopez, Berlin Defense	Beverwijk	alias-candidate	1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.0-0 Bc5	e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f8c5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.StG	St. George Defence	Birmingham Defense (more commonly as the St. George Defense):	Birmingham	alias-candidate	1.e4 a6	e2e4 a7a6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Pol.Bhm	Polish Opening, Birmingham Gambit	Birmingham Gambit of the Polish Opening	Birmingham	named-after-place	1.b4 c5	b2b4 c7c5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.KPO.Kgt.Qe7	King's Knight Opening, Gunderam Defence	Brazilian Defense	Brazilian	alias-candidate	1.e4 e5 2.Nf3 Qe7	e2e4 e7e5 g1f3 d8e7	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Eng.Rev.Nc3.Nf6.g3	English Reversed Sicilian Two Knights, g3	Bremen Variation of the English Opening	Bremen	alias-candidate	1.c4 e5 2.Nc3 Nf6 3.g3	c2c4 e7e5 b1c3 g8f6 g2g3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Mor.Opn.MLn.Brs	Ruy López, Open, Breslau Variation	Breslau Variation of the Ruy Lopez	Breslau	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Nxe4 6.d4 b5 7.Bb3 d5 8.dxe5 Be6 9.c3 Be7 10.Re1 0-0 11.Nd4 Nxe5	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8e7 f1e1 e8g8 f3d4 c6e5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Ale.Brk	Alekhine Defence, Brooklyn Variation	Brooklyn Defense of the Alekhine's Defense	Brooklyn	named-after-place	1.e4 Nf6 2.e5 Ng8	e2e4 g8f6 e4e5 f6g8	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Nf3.f5	Sicilian 2.Nf3, f5	Brussels Gambit of the Sicilian Defense	Brussels	alias-candidate	1.e4 c5 2.Nf3 f5	e2e4 c7c5 g1f3 f7f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Bud	Budapest Defence	Budapest Gambit	Budapest	named-after-place	1.d4 Nf6 2.c4 e5	d2d4 g8f6 c2c4 e7e5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Bul	Ruy López, Bulgarian Variation	Bulgarian Variation of the Ruy Lopez	Bulgarian	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bb5 a5	e2e4 e7e5 g1f3 b8c6 f1b5 a7a5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Bsh.Cal	Bishop's Opening, Calabrese Countergambit	Calabrese Countergambit of the Bishop's Opening	Calabrese	named-after-place	1.e4 e5 2.Bc4 f5	e2e4 e7e5 f1c4 f7f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Ale.Fou.g5	Alekhine Four Pawns, Cambridge Gambit	Cambridge Gambit of the Alekhine's Defense	Cambridge	named-after-place	1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 g5	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 g7g5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.QPO.Nf6.Nd2	Queen's Pawn Nf6, Nd2	Canadian Opening of the Indian Game	Canadian	alias-candidate	1.d4 Nf6 2.Nd2	d2d4 g8f6 b1d2	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Sla.Cze.Kra.Car	Slav Czech Krause, Carlsbad Variation	Carlsbad Variation of the Slav Defense	Carlsbad	named-after-place	1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Ne5 Nbd7 7.Nxc4 Qc7 8.g3 e5	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 b8d7 e5c4 d8c7 g2g3 e7e5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Win.cxb4.a3.bxa3	Sicilian Wing Gambit Accepted a3, bxa3	Carlsbad Variation of the Sicilian Defense, Wing Gambit	Carlsbad	alias-candidate	1.e4 c5 2.b4 cxb4 3.a3 bxa3	e2e4 c7c5 b2b4 c5b4 a2a3 b4a3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Ind.Cat.d5.Bg2	Indian Catalan Setup, Bg2	Catalan Opening	Catalan	named-after-place	1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2	d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Sve.MLn	Sveshnikov Ndb5 Bg5, Main Line	Chelyabinsk Variation of the Sicilian Defense	Chelyabinsk	alias-candidate	1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5	e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Pir.Be2.g4	Pirc Be2, Chinese Variation	Chinese Variation of the Pirc Defense	Chinese	named-after-place	1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be2 Bg7 5.g4!?	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1e2 f8g7 g2g4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Dra.Yug.Bd7.O-O-O.Rb8	Sicilian Dragon Yugoslav O-O-O, Rb8	Chinese Variation of the Sicilian Defense, Dragon Variation	Chinese	alias-candidate	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 0-0 8.Qd2 Nc6 9.Bc4 Bd7 10.0-0-0 Rb8	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 f1c4 c8d7 e1c1 a8b8	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Ben.Old.Adv.f5	Old Benoni Advance, f5	Clarendon Court Variation of the Benoni Defense	Clarendon Court	alias-candidate	1.d4 c5 2.d5 f5	d2d4 c7c5 d4d5 f7f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.QGD.Mar.cxd5.c6	QGD Marshall Defence, Tan Gambit	Cocquio Countergambit of the QGD	Cocquio	alias-candidate	1.d4 d5 2.c4 Nf6 3.cxd5 c6	d2d4 d7d5 c2c4 g8f6 c4d5 c7c6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.War.b6.d4.d5.Nc3.Nd7	Ware Cologne Gambit, Nd7	Cologne Gambit of the Ware Opening	Cologne	named-after-place	1.a4 b6 2.d4 d5 2.Nc3 Nd7	a2a4 b7b6 d2d4 d7d5 b1c3 b8d7	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Nim.Col	Nimzowitsch Defence, Colorado Countergambit	Colorado Gambit of the Nimzowitsch Defense	Colorado	named-after-place	1.e4 Nc6 2.Nf3 f5	e2e4 b8c6 g1f3 f7f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Cen.Dsh.Acc.MLn.Bb4	Danish Gambit Accepted Main Line, Copenhagen Defence	Copenhagen Defense of the Danish Gambit	Copenhagen	named-after-place	1.e4 e5 2.d4 exd4 3.c3 dxc3 4.Bc4 cxb2 5.Bxb2 Bb4+	e2e4 e7e5 d2d4 e5d4 c2c3 d4c3 f1c4 c3b2 c1b2 f8b4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Ita.Giu.Mol.Cra	Italian, Giuoco Piano, Cracow Variation	Cracow Variation of the Italian Game	Cracow	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.cxd4 Bb4+ 7.Kf1?!	e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4 c5b4 e1f1	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Sla	Slav Defence	Czech Defense, the term used by Siegbert Tarrasch for the Slav Defense	Czech	alias-candidate	1.d4 d5 2.c4 c6	d2d4 d7d5 c2c4 c7c6	web	attested		<ref>Siegbert Tarrasch, ''The Game of Chess'', David McKay, 1938, p. 341.</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Pir.Cze	Pirc, Czech Defence	Czech Defense (Pribyl System) of the Pirc Defense	Czech	named-after-place	1.e4 d6 2.d4 Nf6 3.Nc3 c6	e2e4 d7d6 d2d4 g8f6 b1c3 c7c6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Pol.Cze	Polish Opening, Czech Defence	Czech Defense of the Polish opening	Czech	named-after-place	1.b4 e5 2.Bb2 d6	b2b4 e7e5 c1b2 d7d6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.QPO.Nf6.Nf3.c6	Queen's Pawn Indian Knights, c6	Czech-Indian Variation of the Indian Game	Czech-Indian	alias-candidate	1.d4 Nf6 2.Nf3 c6	d2d4 g8f6 g1f3 c7c6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Ben.Czk	Czech Benoni	Czech Variation of the Benoni Defense	Czech	named-after-place	1.d4 Nf6 2.c4 c5 3.d5 e5	d2d4 g8f6 c2c4 c7c5 d4d5 e7e5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Cen.Dsh	Danish Gambit	Danish Gambit	Danish	named-after-place	1.e4 e5 2.d4 exd4 3.c3	e2e4 e7e5 d2d4 e5d4 c2c3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.KPO.Kgt.MLn.c4	King's Knight Opening Main Line, c4	Dresden Opening	Dresden	alias-candidate	1.e4 e5 2.Nf3 Nc6 3.c4	e2e4 e7e5 g1f3 b8c6 c2c4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Tar.HSc	Tarrasch, Hennig-Schara Gambit	Duisburg Gambit of the QGD	Duisburg	alias-candidate	1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 cxd4	d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 c5d4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Van.c5.b4	Van Geet c5, Düsseldorf Gambit	Düsseldorf Gambit of the Van Geet Opening	Düsseldorf	named-after-place	1. Nc3 c5 2. b4	b1c3 c7c5 b2b4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Hol	Dutch Defence	Dutch Defense	Dutch	named-after-place	1.d4 f5	d2d4 f7f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Ret.f5	Zukertort Opening, Dutch Variation	Dutch Variation of Reti Opening	Dutch	named-after-place	1. Nf3 f5	g1f3 f7f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Lar.f5	Larsen Attack, Dutch Variation	Dutch Variation of Nimzowitsch-Larsen Attack	Dutch	named-after-place	1. b3 f5	b2b3 f7f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.EID	East Indian Defence	East Indian Defense	East Indian	named-after-place	1.d4 Nf6 2.Nf3 g6	d2d4 g8f6 g1f3 g7g6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.CaK.Dpn.Mdn.Edn	Modern Variation, Edinburgh Variation	Edinburgh Variation of the Caro–Kann Defense	Edinburgh	named-after-place	1.e4 c6 2.d4 d5 3.Nd2 Qb6	e2e4 c7c6 d2d4 d7d5 b1d2 d8b6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Eng	English Opening	English Opening	English	named-after-place	1.c4	c2c4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Tar.Rub.c4	Tarrasch Rubinstein, Swedish Variation	Folkestone Variation (or Swedish Variation) of the QGD	Folkestone	alias-candidate	1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 c4	d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6 g2g3 c5c4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Fre.Cls.MLn.e5.Ng8.Be3	French Classical Vistaneckis, Frankfurt Variation	Frankfurt Variation of the French Defense	Frankfurt	named-after-place	1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Ng8 6.Be3 b6	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6g8 g5e3 b7b6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Fre	French Defence	French Defense	French	named-after-place	1.e4 e6	e2e4 e7e6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Gro	Grob Opening	Genoa Opening (known as the Grob Attack)	Genoa	alias-candidate	1.g4	g2g4	none	traditional	yes	no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Ama.Par.Gen	Amar Paris Gambit, Gent Gambit	Gent Gambit of the Amar Opening (Paris)	Gent	named-after-place	1.Nh3 d5 2.g3 e5 3.f4 Bxh3 4.Bxh3 exf4 5.0-0 fxg3 6.hxg3	g1h3 d7d5 g2g3 e7e5 f2f4 c8h3 f1h3 e5f4 e1g1 f4g3 h2g3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Pol.Cen.Bb2.Qd6	Polish Central, German Defence	German Defense of the Polish Opening (Orangutan or Sokolsky Opening)	German	named-after-place	1.b4 d5 2.Bb2 Qd6	b2b4 d7d5 c1b2 d8d6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sca.Mod.Mie.e5.Nf3	Scandinavian Anderssen, Goteborg	Goteborg (Gothenburg) System of the Scandinavian Defense	Goteborg	named-after-place	1.e4 d5 2.exd5 Qxd5 3.Nc3 Qa5 4.d4 e5 5.Nf3	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5 g1f3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Naj.Bg5.e6.f4.g5	Najdorf Traditional, Goteborg Variation	Gothenburg Variation of the Sicilian Defense, Najdorf Variation	Gothenburg	alias-candidate	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Bg5 e6 7.f4 Be7 8.Qf3 h6 9.Bh4 g5	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 f8e7 d1f3 h7h6 g5h4 g7g5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.RyL.Mor.Ba4.b5.Bb3.Bc5	Ruy López Morphy, Graz Variation	Graz Variation of the Ruy Lopez	Graz	named-after-place	1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 b5 5. Bb3 Bc5	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 b7b5 a4b3 f8c5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Lar.d5.Ba3	Larsen Classical, Graz Attack	Graz Attack of the Nimzowitsch-Larsen Attack	Graz	named-after-place	1.b3 d5 2.Ba3	b2b3 d7d5 c1a3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.OwM	Owen's Modern (...b6 vs e4)	Greek Defense (or Owen's Defense)	Greek	alias-candidate	1.e4 b6	e2e4 b7b6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.OwM.Gua	Owen Modern, Guatemala Defence	Guatemalan Defense of the Greek Defense or Owen's Defense	Guatemalan	alias-candidate	1.e4 b6 2.d4 Ba6	e2e4 b7b6 d2d4 c8a6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Eng.Rev.Nc3.Nc6.g3.Rb1	English Closed, Hungarian Attack	Hungarian Attack of the English Opening	Hungarian	named-after-place	1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Rb1	c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 a1b1	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Ita.Be7	Italian Game, Hungarian Defence	Hungarian Defense	Hungarian	named-after-place	1.e4 e5 2.Nf3 Nc6 3.Bc4 Be7	e2e4 e7e5 g1f3 b8c6 f1c4 f8e7	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.KGm.Acc.Bre	King's Gambit Accepted, Breyer Gambit	Hungarian Gambit (or Breyer Gambit) of the King's Gambit	Hungarian	alias-candidate	1.e4 e5 2.f4 exf4 3.Qf3	e2e4 e7e5 f2f4 e5f4 d1f3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Ind.Cat.e5	Indian Catalan Setup, Hungarian Gambit	Hungarian Gambit of the Catalan Opening	Hungarian	named-after-place	1.d4 Nf6 2.c4 e6 3.g3 e5	d2d4 g8f6 c2c4 e7e6 g2g3 e6e5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Hng	Hungarian Opening	Hungarian Opening (or Benko's Opening)	Hungarian	named-after-place	1.g3	g2g3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Mod.d4.cxd4.Qxd4	Sicilian Modern, Chekhover Variation	Hungarian Variation of the Sicilian Defense	Hungarian	alias-candidate	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Qxd4	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 d1d4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
