ocn1	relation	subject_type	subject_id	date	games	source_ref	evidence_grade	note
B.Pir.Cze	named-after-place	place	czech			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Pirc, Czech Defence' carries 'Czech'
B.Sca	named-after-place	place	scandinavian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Scandinavian Defence' carries 'Scandinavian'
B.Sca.Ice	named-after-place	place	icelandic			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Scandinavian, Icelandic Gambit' carries 'Icelandic'
B.Sca.Mod.Mie.e5.Nf3	named-after-place	place	goteborg			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Scandinavian Anderssen, Goteborg' carries 'Goteborg'
B.Sca.Nf6.Mar.Kie	named-after-place	place	kiel			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Scandinavian Marshall, Kiel Variation' carries 'Kiel'
B.Sic	named-after-place	place	sicilian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Sicilian Defence' carries 'Sicilian'
B.Sic.Mor	named-after-place	place	moscow			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Sicilian Moscow' carries 'Moscow'
B.Sic.Naj.f4	named-after-place	place	amsterdam			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Sicilian Najdorf, Amsterdam Variation' carries 'Amsterdam'
B.Sic.Naj.g3	named-after-place	place	zagreb			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Sicilian Najdorf, Zagreb Variation' carries 'Zagreb'
B.Sic.OKe.Nc3	named-after-place	place	yerevan			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Sicilian O'Kelly, Yerevan System' carries 'Yerevan'
B.Sic.Old.b4	named-after-place	place	portsmouth			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Old Sicilian, Portsmouth Gambit' carries 'Portsmouth'
B.Sic.Ros.SFr	named-after-place	place	san-francisco			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Sicilian Rossolimo, San Francisco Gambit' carries 'San Francisco'
B.Sic.Sch	named-after-place	place	scheveningen			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Sicilian Scheveningen' carries 'Scheveningen'
B.Sic.Sve.Bxf6.Nd5.Bg7	named-after-place	place	novosibirsk			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Novosibirsk (10...Bg7)' carries 'Novosibirsk'
B.Sic.Tay.Nc3.Nf6.Ndb5.Bb4	named-after-place	place	american			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Taimanov Four Knights, American Attack' carries 'American'
B.Sic.Win	named-after-place	place	sicilian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Sicilian, Wing Gambit' carries 'Sicilian'
B.Sic.Win.cxb4.a3.d5.Bb2	named-after-place	place	marienbad			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Sicilian Wing Gambit, Marienbad Variation' carries 'Marienbad'
B.Sic.Win.cxb4.a3.d5.Qe6	named-after-place	place	romanian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Sicilian Wing Gambit, Romanian Defence' carries 'Romanian'
C.Bsh.Cal	named-after-place	place	calabrese			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Bishop's Opening, Calabrese Countergambit' carries 'Calabrese'
C.Cen.Dsh	named-after-place	place	danish			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Danish Gambit' carries 'Danish'
C.Cen.Dsh.Acc.MLn.Bb4	named-after-place	place	copenhagen			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Danish Gambit Accepted Main Line, Copenhagen Defence' carries 'Copenhagen'
C.Fou.Sco.Bb4.d5.Nd4	named-after-place	place	oxford			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Four Knights Scotch Oxford, Nd4' carries 'Oxford'
C.Fou.Sco.Bel	named-after-place	place	belgrade			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Four Knights Scotch, Belgrade Gambit' carries 'Belgrade'
C.Ita	named-after-place	place	italian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Italian Game' carries 'Italian'
C.Ita.Be7	named-after-place	place	hungarian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Italian Game, Hungarian Defence' carries 'Hungarian'
C.Ita.Giu.Mol.Cra	named-after-place	place	cracow			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Italian, Giuoco Piano, Cracow Variation' carries 'Cracow'
C.Ita.Giu.d4	named-after-place	place	italian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Italian Giuoco Piano, Rosentreter Gambit' carries 'Italian'
C.Ita.d6	named-after-place	place	paris			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Italian Game, Paris Defence' carries 'Paris'
C.KGm.Acc.Nf3.KKn.Bc4.Aus	named-after-place	place	australian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'King's Gambit Accepted, Australian Gambit' carries 'Australian'
C.KGm.Acc.Nf3.Scl.Tas	named-after-place	place	tashkent			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'King's Gambit Accepted Schallopp, Tashkent Attack' carries 'Tashkent'
C.KPO.Prt	named-after-place	place	portuguese			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Portuguese Opening' carries 'Portuguese'
C.KPO.c4.d5	named-after-place	place	bavarian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'King's Pawn Game, Bavarian Gambit' carries 'Bavarian'
C.LtO	named-after-place	place	latvian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Latvian Gambit' carries 'Latvian'
C.RyL.Ber	named-after-place	place	berlin			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Ruy López, Berlin Defence' carries 'Berlin'
C.RyL.Ber.Rio	named-after-place	place	rio-de-janeiro			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Ruy López Berlin, Rio de Janeiro' carries 'Rio de Janeiro'
C.RyL.Bul	named-after-place	place	bulgarian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Ruy López, Bulgarian Variation' carries 'Bulgarian'
C.RyL.Mor.Ark	named-after-place	place	arkhangelsk			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Ruy López Morphy, Arkhangelsk' carries 'Arkhangelsk'
C.RyL.Mor.Ba4.Nf6.Bxc6	named-after-place	place	bayreuth			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Ruy López Morphy Nf6, Bayreuth' carries 'Bayreuth'
C.RyL.Mor.Ba4.Nf6.O-O.Bas	named-after-place	place	basque			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Ruy López, Closed, Basque Gambit' carries 'Basque'
C.RyL.Mor.Ba4.b5.Bb3.Bc5	named-after-place	place	graz			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Ruy López Morphy, Graz Variation' carries 'Graz'
C.RyL.Mor.Nor	named-after-place	place	norwegian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Ruy López Morphy, Norwegian' carries 'Norwegian'
C.RyL.Mor.Opn.MLn.Brs	named-after-place	place	breslau			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Ruy López, Open, Breslau Variation' carries 'Breslau'
C.RyL.Mor.Opn.MLn.StP	named-after-place	place	st-petersburg			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Ruy López, Open, St. Petersburg Variation' carries 'St. Petersburg'
C.RyL.Mor.Opn.Rig	named-after-place	place	riga			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Ruy López Open, Riga' carries 'Riga'
C.Sco	named-after-place	place	scotch			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Scotch Game' carries 'Scotch'
C.Sco.Gbt	named-after-place	place	scotch			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Scotch, Scotch Gambit' carries 'Scotch'
C.Vie	named-after-place	place	vienna			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Vienna Game' carries 'Vienna'
C.Vie.Nc6.f4	named-after-place	place	vienna			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Vienna Gambit, Max Lange Defence' carries 'Vienna'
C.Vie.d6	named-after-place	place	omaha			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Vienna Game, Omaha Gambit' carries 'Omaha'
D.Bgm.Cap.Nc3.e5	named-after-place	place	lemberg			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Blackmar-Diemer Gambit, Lemberger Countergambit' carries 'Lemberg'
D.QGA.Man	named-after-place	place	mannheim			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'QGA, Mannheim' carries 'Mannheim'
D.QGD.Bal	named-after-place	place	baltic			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'QGD, Baltic Defence' carries 'Baltic'
D.QPG.Ama	named-after-place	place	amazon			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Amazon Attack' carries 'Amazon'
D.QPG.Zur	named-after-place	place	zurich			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Queen's Pawn Game, Zurich Gambit' carries 'Zurich'
D.QPG.c4.c5	named-after-place	place	austrian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Queen's Gambit, Austrian Defence' carries 'Austrian'
D.Sem.e3.Nbd7.Bd3.dxc4.Bxc4	named-after-place	place	meran			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Semi-Slav Semi-Meran, Bxc4' carries 'Meran'
D.Sla	named-after-place	place	slav			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Slav Defence' carries 'Slav'
D.Sla.Cze.Kra.Car	named-after-place	place	carlsbad			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Slav Czech Krause, Carlsbad Variation' carries 'Carlsbad'
D.Sla.Cze.Kra.MLn.e6	named-after-place	place	wiesbaden			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Slav Czech Krause, Wiesbaden' carries 'Wiesbaden'
D.Tar.Prg	named-after-place	place	prague			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Tarrasch, Prague Variation' carries 'Prague'
D.Tar.Rub.c4	named-after-place	place	swedish			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Tarrasch Rubinstein, Swedish Variation' carries 'Swedish'
E.Ben.Bnk	named-after-place	place	volga			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Benko / Volga Gambit' carries 'Volga'
E.Ben.Bnk.Acc.MLn.g6.Ne2	named-after-place	place	yugoslav			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Benko Accepted g6, Yugoslav' carries 'Yugoslav'
E.Ben.Czk	named-after-place	place	czech			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Czech Benoni' carries 'Czech'
E.Bud	named-after-place	place	budapest			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Budapest Defence' carries 'Budapest'
E.Gru.Exc.SeV.Bc4.c5.Bxf7	named-after-place	place	seville			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Grünfeld Exchange Seville, Bxf7 Sacrifice' carries 'Seville'
E.Ind.Cat.d5.Bg2	named-after-place	place	catalan			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Indian Catalan Setup, Bg2' carries 'Catalan'
E.Ind.Cat.e5	named-after-place	place	hungarian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Indian Catalan Setup, Hungarian Gambit' carries 'Hungarian'
E.Ind.b5	named-after-place	place	pyrenees			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Indian Defence, Pyrenees Gambit' carries 'Pyrenees'
E.KID.Cls.Oth.Na6	named-after-place	place	kazakh			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'KID Classical Orthodox, Kazakh Variation' carries 'Kazakh'
