ocn1	ocn_class	eco_codes	family_head	rationale_ref
E.Ben.Mod.Fch.MLn	E	A62	E.Ben	indians-e
E.Ben.Mod.Fch.Nd2	E	A63	E.Ben	indians-e
E.Ben.Mod.Fch.Bf4	E	A64	E.Ben	indians-e
E.Ben.Mod.Fou.MLn	E	A68	E.Ben	indians-e
A.Ver.Cls	A	D01	A.Ver	london-colle-a
A.Ver.Ric	A	D01	A.Ver	london-colle-a
B.Fre.Tar.Cls.MLn	B	C05	B.Fre	french-b
B.Fre.Tar.Cls.Be7	B	C06	B.Fre	french-b
B.Fre.Tar.Cls.c5	B	C04	B.Fre	french-b
B.Fre.Tar.Cls.Kor	B	C06	B.Fre	french-b
E.Gru.Rus.Hng	E	D97	E.Gru	gruenfeld-e
E.Gru.Rus.Leo	E	D98	E.Gru	gruenfeld-e
E.Gru.Fch.MLn	E	D79	E.Gru	gruenfeld-e
E.Gru.Neo.Kem	E	D75	E.Gru	gruenfeld-e
A.Owe.Fch	A	B00	A.Owe	misc
A.Ver.Hub	A	D01	A.Ver	london-colle-a
E.Ind.Tgo.MLn	E	A50	E.Ind	indians-e
E.Gru.Brn.MLn	E	D80	E.Gru	gruenfeld-e
A.Lon.Cls.MLn	A	D02	A.Lon	london-colle-a
A.Col.Kol.MLn	A	D04	A.Col	london-colle-a
B.Fre.Win.Psn.MLn	B	C18	B.Fre	french-b
D.Cat.Ope.Yug.MLn	D	E04	D.Cat	catalan-d
E.Bud.Adl.MLn	E	A52	E.Bud	budapest-e
E.Bud.Rub.MLn	E	A52	E.Bud	budapest-e
E.OldI.Cls.MLn	E	A54	E.OldI	indians-e
E.OldI.Fch.MLn	E	A54	E.OldI	indians-e
E.Blf.Dec.MLn	E	A57	E.Blf	indians-e
E.Blf.Spl.MLn	E	A57	E.Blf	indians-e
D.Cat.Cls.Kor.MLn	D	E08	D.Cat	catalan-d
E.Bud.Adl.MLn.e3	E	A52	E.Bud	budapest-e
E.OldI.Cls.MLn.Re1	E	A54	E.OldI	indians-e
E.Blf.Dec.MLn.e3	E	A57	E.Blf	indians-e
E.Gru.Brn.MLn.Be2	E	D80	E.Gru	gruenfeld-e
E.Ind.Tgo.MLn.Nc3	E	A50	E.Ind	indians-e
A.Owe.Fch.MLn	A	B00	A.Owe	misc
D.Cat.Ope.Qa4.MLn	D	E03	D.Cat	catalan-d
E.Gru.Exc.Cla.MLn	E	D85	E.Gru	gruenfeld-e
E.Gru.Rus.Hng.Be2	E	D97	E.Gru	gruenfeld-e
A.Owe.Fch.MLn.Ne2	A	B00	A.Owe	misc
D.Cat.Ope.Qa4.MLn.c5	D	E03	D.Cat	catalan-d
E.Gru.Exc.Cla.MLn.O-O	E	D85	E.Gru	gruenfeld-e
E.Gru.Rus.Hng.Be2.Nc6	E	D97	E.Gru	gruenfeld-e
A.Owe.Fch.MLn.Ne2.a6.Bd3	A	B00	A.Owe	misc
D.Cat.Ope.Qa4.MLn.c5.dxc5	D	E03	D.Cat	catalan-d
E.Gru.Exc.Cla.MLn.O-O.Qc2	E	D85	E.Gru	gruenfeld-e
E.Gru.Rus.Hng.Be2.Nc6.h3	E	D97	E.Gru	gruenfeld-e
A.Owe.Fch.MLn.Ne2.a6	A	B00	A.Owe	misc
D.Cat.Ope.Qa4.MLn.c5.O-O	D	E03	D.Cat	catalan-d
E.Gru.Exc.Cla.MLn.O-O.e5	E	D85	E.Gru	gruenfeld-e
E.Gru.Rus.Hng.Be2.Nc6.O-O	E	D97	E.Gru	gruenfeld-e
E.Ben.Mod.Cls.MLn.Re1	E	A70|A71	E.Ben	indians-e
E.Ben.Mod.Cls.MLn.h3	E	A70|A71	E.Ben	indians-e
E.Ben.Mod.Fch.MLn.O-O	E	A62	E.Ben	indians-e
E.Ben.Mod.Fch.MLn.h3	E	A62	E.Ben	indians-e
E.Ben.Mod.Fou.MLn.Be3	E	A68	E.Ben	indians-e
E.Ben.Mod.Fou.MLn.Bd3	E	A68	E.Ben	indians-e
B.Fre.Tar.Cls.MLn.Ngf3	B	C05	B.Fre	french-b
B.Fre.Win.Psn.MLn.Nf3	B	C18	B.Fre	french-b
D.Cat.Ope.Yug.MLn.Qxc4	D	E04	D.Cat	catalan-d
E.Bud.Adl.MLn.e3.Be2	E	A52	E.Bud	budapest-e
E.Ben.Mod.Cls.MLn.Re1.Nbd7	E	A70|A71	E.Ben	indians-e
E.Ben.Mod.Cls.MLn.h3.Re8	E	A70|A71	E.Ben	indians-e
E.Ben.Mod.Fch.MLn.O-O.Nbd7	E	A62	E.Ben	indians-e
E.Ben.Mod.Fch.MLn.h3.Re8	E	A62	E.Ben	indians-e
E.Ben.Mod.Fou.MLn.Be3.Re8	E	A68	E.Ben	indians-e
E.Ben.Mod.Fou.MLn.Bd3.Na6	E	A68	E.Ben	indians-e
B.Fre.Tar.Cls.MLn.Ngf3.c5	B	C05	B.Fre	french-b
B.Fre.Win.Psn.MLn.Nf3.Nbc6	B	C18	B.Fre	french-b
D.Cat.Ope.Yug.MLn.Qxc4.b5	D	E04	D.Cat	catalan-d
E.Bud.Adl.MLn.e3.Be2.Re8	E	A52	E.Bud	budapest-e
D.Cat.Ope.Qa4.Ale.Be7	D	E03	D.Cat	catalan-d
D.Cat.Cls.Qc2.Btr.Bb7	D	E08	D.Cat	catalan-d
D.Cat.Ope.Bb4.Mod.O-O	D	E04	D.Cat	catalan-d
E.Ben.Mod.Cls.Nd2.Re8	E	A72	E.Ben	indians-e
E.Ben.Mod.Cls.Bg5.h6	E	A73	E.Ben	indians-e
E.Ben.Mod.Cls.Rb1.a6	E	A74	E.Ben	indians-e
E.Ben.Mod.Cls.h3.Na6	E	A75	E.Ben	indians-e
E.Ben.Mod.Fch.Nd2.Re8	E	A63	E.Ben	indians-e
E.Ben.Mod.Fch.Bf4.Re8	E	A64	E.Ben	indians-e
B.Fre.Tar.Cls.Be7.Ngf3	B	C06	B.Fre	french-b
B.Fre.Tar.Cls.c5.c3	B	C04	B.Fre	french-b
B.Fre.Tar.Cls.Kor.O-O	B	C06	B.Fre	french-b
D.Cat.Cls.Kor.MLn.Bf4	D	E08	D.Cat	catalan-d
E.OldI.Cls.MLn.Re1.Be3	E	A54	E.OldI	indians-e
E.Blf.Dec.MLn.e3.Be2	E	A57	E.Blf	indians-e
E.Gru.Brn.MLn.Be2.Nc6	E	D80	E.Gru	gruenfeld-e
E.Ind.Tgo.MLn.Nc3.exd4	E	A50	E.Ind	indians-e
D.Cat.Ope.Qa4.Ale.Be7.Bg2	D	E03	D.Cat	catalan-d
E.Gru.Exc.Sev.MLn	E	D85	E.Gru	gruenfeld-e
D.Cat.Cls.Bot.MLn	D	E07	D.Cat	catalan-d
D.Cat.Cls.Rab.MLn	D	E09	D.Cat	catalan-d
E.Gru.Exc.Sps.MLn	E	D87	E.Gru	gruenfeld-e
B.Fre.Adv.Mil.MLn	B	C02	B.Fre	french-b
B.Fre.Tar.Ope.MLn	B	C07|C08	B.Fre	french-b
E.Ben.Bnk.Acc.MLn	E	A57|A58	E.Ben	indians-e
E.Ben.Bnk.Dec.MLn	E	A57	E.Ben	indians-e
E.Gru.Brn.Nad.MLn	E	D80	E.Gru	gruenfeld-e
E.Bud.Faj.MLn	E	A51	E.Bud	budapest-e
E.Bud.Faj.MLn.e3	E	A51	E.Bud	budapest-e
E.Bud.Faj.MLn.e3.Be2	E	A51	E.Bud	budapest-e
E.Bud.Faj.MLn.e3.Be2.O-O	E	A51	E.Bud	budapest-e
E.Bud.Faj.Bns.MLn	E	A51	E.Bud	budapest-e
E.Bud.Faj.Ste.MLn	E	A51	E.Bud	budapest-e
E.Bud.Rub.MLn.e3	E	A52	E.Bud	budapest-e
E.Bud.Rub.MLn.e3.Be2	E	A52	E.Bud	budapest-e
E.Bud.Alk.MLn	E	A52	E.Bud	budapest-e
E.Bud.Alk.MLn.Nf3	E	A52	E.Bud	budapest-e
E.Gru.Thr.MLn	E	D70|D71	E.Gru	gruenfeld-e
E.Gru.Thr.MLn.Qb3	E	D70|D71	E.Gru	gruenfeld-e
E.Gru.Neo.MLn	E	D72|D73	E.Gru	gruenfeld-e
E.Gru.Neo.MLn.cxd5	E	D73	E.Gru	gruenfeld-e
E.Gru.Neo.MLn.cxd5.Nxd5	E	D73	E.Gru	gruenfeld-e
E.Gru.Rus.Prz.MLn	E	D97	E.Gru	gruenfeld-e
E.Gru.Rus.Szs.MLn	E	D97	E.Gru	gruenfeld-e
E.Gru.Fch.Pac.MLn	E	D78	E.Gru	gruenfeld-e
E.Gru.Fch.Euw.MLn	E	D78	E.Gru	gruenfeld-e
E.Gru.Exc.Mod.MLn	E	D85	E.Gru	gruenfeld-e
E.Ben.Czk.MLn	E	A56	E.Ben	indians-e
E.Ben.Czk.MLn.Be7	E	A56	E.Ben	indians-e
E.Gru.Sml.MLn	E	D80	E.Gru	gruenfeld-e
E.Gru.Sml.MLn.c5	E	D80	E.Gru	gruenfeld-e
E.OldI.Ukr.MLn	E	A54	E.OldI	indians-e
E.OldI.Jan.MLn	E	A53	E.OldI	indians-e
B.Fre.Adv.NwG	B	C02	B.Fre	french-b
B.Fre.Cls.MLn	B	C13|C14	B.Fre	french-b
B.Fre.Stn.MLn	B	C11	B.Fre	french-b
B.Fre.Mac.MLn	B	C12	B.Fre	french-b
B.Fre.Exc.Uhl	B	C01	B.Fre	french-b
B.Fre.Exc.Bg4	B	C01	B.Fre	french-b
B.Fre.Exc.Nc6	B	C01	B.Fre	french-b
B.Fre.Rub.MLn	B	C10	B.Fre	french-b
B.Fre.Mac.exd5	B	C12	B.Fre	french-b
B.Fre.Cls.MLn.ACh	B	C14	B.Fre	french-b
B.Fre.RPa	B	C00	B.Fre	french-b
B.Fre.Kor	B	C00	B.Fre	french-b
B.Fre.Rub.MLn.Nf6	B	C10	B.Fre	french-b
B.Fre.Rub.MLn.Bd3	B	C10	B.Fre	french-b
B.Fre.Mac.MLn.Bd3	B	C12	B.Fre	french-b
B.Fre.Mac.MLn.Bh4	B	C12	B.Fre	french-b
E.OldI.Ukr.MLn.Be7	E	A54	E.OldI	indians-e
E.OldI.Jan.MLn.e3	E	A53	E.OldI	indians-e
E.Gru.Hng.MLn	E	D80	E.Gru	gruenfeld-e
E.Gru.Sml.MLn.c5.dxc5	E	D80	E.Gru	gruenfeld-e
E.Gru.Thr.MLn.Qb3.Nxc3	E	D70|D71	E.Gru	gruenfeld-e
E.Gru.Neo.MLn.cxd5.Nxd5.e4	E	D73	E.Gru	gruenfeld-e
E.Gru.Exc.Mod.MLn.Be2	E	D85	E.Gru	gruenfeld-e
E.Ben.Czk.MLn.Be7.Nf3	E	A56	E.Ben	indians-e
E.Ben.Bnk.Acc.MLn.Bxa6	E	A57|A58	E.Ben	indians-e
E.Ben.Bnk.Dec.MLn.Bxe7	E	A57	E.Ben	indians-e
A.Lon.Msn.MLn	A	D02	A.Lon	london-colle-a
A.Lon.Msn.MLn.Nbd2	A	D02	A.Lon	london-colle-a
A.Lon.Psn.Qxb2	A	D02	A.Lon	london-colle-a
A.Lon.Psn.Qxb2.Nb5	A	D02	A.Lon	london-colle-a
A.Col.Zuk.MLn	A	D05	A.Col	london-colle-a
A.Col.Zuk.MLn.Be7	A	D05	A.Col	london-colle-a
A.Col.Phn.MLn	A	D05	A.Col	london-colle-a
A.Ver.Cls.MLn	A	D01	A.Ver	london-colle-a
A.Ver.Cls.MLn.Be7	A	D01	A.Ver	london-colle-a
B.Fre.Cls.MLn.e5	B	C11	B.Fre	french-b
B.Fre.Cls.MLn.e5.Nfd7	B	C11	B.Fre	french-b
B.Fre.Stn.MLn.f4	B	C11	B.Fre	french-b
B.Fre.Stn.MLn.f4.c5	B	C11	B.Fre	french-b
B.Fre.Win.Psn.Kd1	B	C18	B.Fre	french-b
B.Fre.Win.Psn.Kd1.dxc3	B	C18	B.Fre	french-b
B.Fre.Tar.Ope.exd5	B	C07	B.Fre	french-b
B.Fre.Tar.Ope.exd5.exd5	B	C07	B.Fre	french-b
D.Cat.Ope.Qa4.Bd7	D	E04	D.Cat	catalan-d
D.Cat.Cls.Qc2.c6	D	E08	D.Cat	catalan-d
D.Cat.Cls.Qc2.c6.Rd1	D	E08	D.Cat	catalan-d
A.Lon.Cls.MLn.c4	A	D02	A.Lon	london-colle-a
A.Lon.Cls.MLn.c4.g3	A	D02	A.Lon	london-colle-a
A.Lon.Msn.MLn.Nbd2.c4	A	D02	A.Lon	london-colle-a
A.Lon.Psn.Qxb2.Nb5.c4	A	D02	A.Lon	london-colle-a
A.Lon.Cls.MLn.c4.g3.g6	A	D02	A.Lon	london-colle-a
A.Col.Kol.MLn.c4	A	D04	A.Col	london-colle-a
A.Col.Phn.MLn.c4	A	D05	A.Col	london-colle-a
A.Col.Kol.MLn.c4.g6	A	D04	A.Col	london-colle-a
A.Col.Phn.MLn.c4.g6	A	D05	A.Col	london-colle-a
A.Ver.Hub.c5	A	D01	A.Ver	london-colle-a
A.Ver.Ric.Nf3	A	D01	A.Ver	london-colle-a
A.Ver.Hub.c5.g3	A	D01	A.Ver	london-colle-a
B.Rat.Bal	B	A82	B.Rat	misc
E.Ind.g5	E	A50	E.Ind	indians-e
E.Ind.b5	E	A50	E.Ind	indians-e
E.Ind.c6	E	A50	E.Ind	indians-e
E.Ind.e6.Nf3.d5.Bg5	E	D30	E.Ind	indians-e
B.Fre.Nrm	B	C00	B.Fre	french-b
B.Fre.Nrm.d5	B	C00|C01|C02|C03|C10	B.Fre	french-b
B.Fre.Nrm.d5.Be3	B	C00	B.Fre	french-b
B.Fre.Nrm.d5.Nf3	B	C00	B.Fre	french-b
B.Fre.Nrm.d5.Nf3.dxe4	B	C00	B.Fre	french-b
B.Fre.Nrm.d5.c4	B	C00	B.Fre	french-b
B.Fre.Nrm.d5.c4.dxe4	B	C00	B.Fre	french-b
B.Fre.Nrm.d5.Qe2	B	C00	B.Fre	french-b
B.Fre.Nrm.d5.Qe2.e5	B	C00	B.Fre	french-b
B.Fre.Nrm.d5.Nh3	B	C00	B.Fre	french-b
B.Fre.Nrm.d5.Bd3	B	C00	B.Fre	french-b
B.Fre.Nrm.b5	B	C00	B.Fre	french-b
B.Fre.Nrm.f5	B	C00	B.Fre	french-b
B.Fre.Nrm.f5.exf5	B	C00	B.Fre	french-b
B.Fre.Nrm.c5	B	C00	B.Fre	french-b
B.Fre.Nrm.c5.d5	B	A43	B.Fre	french-b
B.Fre.Nrm.Nf6	B	C00	B.Fre	french-b
B.Fre.Nrm.a6	B	C00	B.Fre	french-b
B.Fre.Nrm.a6.c4	B	C00	B.Fre	french-b
B.Fre.Nrm.a6.c4.b5	B	C00	B.Fre	french-b
B.Fre.Nrm.a6.Nf3	B	C00	B.Fre	french-b
B.Fre.b4	B	C00	B.Fre	french-b
B.Fre.b4.Bxb4	B	C00	B.Fre	french-b
B.Fre.Bb5	B	C00	B.Fre	french-b
B.Fre.Qe2	B	C00	B.Fre	french-b
B.Fre.b3	B	C00	B.Fre	french-b
B.Fre.d3	B	C00	B.Fre	french-b
B.Fre.d3.f5	B	C00	B.Fre	french-b
B.Fre.Nf3	B	C00	B.Fre	french-b
B.Fre.Nf3.f5	B	C00	B.Fre	french-b
B.Fre.Nf3.d5	B	C00	B.Fre	french-b
B.Fre.Nf3.d5.Nc3	B	C00	B.Fre	french-b
B.Fre.f4	B	C00	B.Fre	french-b
B.Fre.f4.d5	B	C00	B.Fre	french-b
B.Fre.c4	B	C00	B.Fre	french-b
B.Fre.c4.d5	B	C00	B.Fre	french-b
B.Fre.Nc3	B	C00	B.Fre	french-b
B.Fre.Nc3.d5	B	C00	B.Fre	french-b
B.Fre.g3	B	C00	B.Fre	french-b
B.Fre.e5	B	C00	B.Fre	french-b
B.Fre.Nrm.d5.Nc3	B	C10	B.Fre	french-b
B.Fre.Nrm.d5.Nc3.Nc6	B	C10	B.Fre	french-b
B.Fre.Nrm.d5.Nc3.c5	B	C10	B.Fre	french-b
B.Fre.Nrm.d5.Nc3.a6	B	C11|C14	B.Fre	french-b
B.Fre.Win.Ale	B	C15	B.Fre	french-b
B.Fre.Win.Ale.Wlf	B	C15	B.Fre	french-b
B.Fre.Win.Ale.Acc	B	C15	B.Fre	french-b
B.Fre.Win.Ale.Kan	B	C15	B.Fre	french-b
B.Fre.Win.Ale.Ala	B	C15	B.Fre	french-b
B.Fre.Win.DEx	B	C15	B.Fre	french-b
B.Fre.Win.DEx.Cnl	B	C15	B.Fre	french-b
B.Fre.Win.Fsl	B	C15	B.Fre	french-b
B.Fre.Win.Fsl.Kun	B	C15	B.Fre	french-b
B.Fre.Win.Fsl.MLn	B	C15	B.Fre	french-b
B.Fre.Win.Fsl.Sch	B	C15	B.Fre	french-b
B.Fre.Win.Knd	B	C15	B.Fre	french-b
B.Fre.Win.WRg	B	C15	B.Fre	french-b
B.Fre.Win.Adv	B	C16|C17|C18|C19	B.Fre	french-b
B.Fre.Win.Adv.Qd7	B	C16	B.Fre	french-b
B.Fre.Win.Adv.c5	B	C17|C18|C19	B.Fre	french-b
B.Fre.Win.Adv.Msc	B	C17	B.Fre	french-b
B.Fre.Win.Adv.Bgl	B	C17	B.Fre	french-b
B.Fre.Win.Adv.Bgl.Ice	B	C17	B.Fre	french-b
B.Fre.Win.Adv.a3	B	C17|C18|C19	B.Fre	french-b
B.Fre.Win.Adv.MWl	B	C17	B.Fre	french-b
B.Fre.Win.Adv.MWl.Nf3	B	C17	B.Fre	french-b
B.Fre.Win.Adv.MLn	B	C18|C19	B.Fre	french-b
B.Fre.Win.Adv.MLn.Ne7	B	C18|C19	B.Fre	french-b
B.Fre.Win.Adv.MLn.Ne7.Bd3	B	C18|C19	B.Fre	french-b
B.Fre.Win.Adv.MLn.Ne7.h4	B	C18	B.Fre	french-b
B.Fre.Win.Adv.MLn.Ne7.Nf3	B	C19	B.Fre	french-b
B.Fre.Win.Adv.MLn.Qc7	B	C18	B.Fre	french-b
B.Fre.Win.Adv.MLn.Qa5	B	C18	B.Fre	french-b
B.Fre.Win.Adv.Smy	B	C19	B.Fre	french-b
B.Fre.Win.Adv.Pos	B	C19	B.Fre	french-b
B.Fre.Win.Adv.Pos.Qa5	B	C19	B.Fre	french-b
B.Fre.Win.Adv.Pos.Qa5.Bd2	B	C19	B.Fre	french-b
B.Fre.Win.Adv.Pos.Qa5.Qd2	B	C19	B.Fre	french-b
B.Sca.Ten	B	A06	B.Sca	misc
B.Sca.Ten.Brg	B	A06	B.Sca	misc
E.Gru.Nf3	E	D90	E.Gru	gruenfeld-e
E.Gru.Bg5	E	D80	E.Gru	gruenfeld-e
E.Gru.Bg5.Ne4	E	D80	E.Gru	gruenfeld-e
E.Gru.Qb3	E	D81	E.Gru	gruenfeld-e
E.Gru.g4	E	D80	E.Gru	gruenfeld-e
E.Gru.h4	E	D80	E.Gru	gruenfeld-e
E.Gru.cxd5	E	D85	E.Gru	gruenfeld-e
E.Gru.cxd5.Nxd5	E	D85	E.Gru	gruenfeld-e
E.Gru.cxd5.Nxd5.Na4	E	D85	E.Gru	gruenfeld-e
E.Gru.Thr.Qa4	E	D90	E.Gru	gruenfeld-e
E.Gru.Thr.Bg5	E	D91	E.Gru	gruenfeld-e
E.Gru.Thr.Bf4	E	D92	E.Gru	gruenfeld-e
E.Gru.Thr.e3	E	D94|D95	E.Gru	gruenfeld-e
E.Gru.Thr.e3.O-O	E	D94|D95	E.Gru	gruenfeld-e
E.Gru.Thr.e3.O-O.Bd3	E	D94	E.Gru	gruenfeld-e
E.Gru.Thr.e3.O-O.Qb3	E	D95	E.Gru	gruenfeld-e
E.Gru.Thr.e3.O-O.b4	E	D94	E.Gru	gruenfeld-e
E.Gru.Exc.SeV.Nf3	E	D85	E.Gru	gruenfeld-e
E.Gru.Exc.SeV.Bc4	E	D86|D87|D88|D89	E.Gru	gruenfeld-e
E.Gru.Exc.SeV.Bc4.O-O	E	D86	E.Gru	gruenfeld-e
E.Gru.Exc.SeV.Bc4.c5	E	D87|D88|D89	E.Gru	gruenfeld-e
E.Gru.Exc.SeV.Bc4.c5.Ne2	E	D87|D88|D89	E.Gru	gruenfeld-e
E.Gru.Rus.Hng.e4	E	D97	E.Gru	gruenfeld-e
E.Gru.Rus.Hng.e4.a6	E	D97	E.Gru	gruenfeld-e
E.Gru.Rus.Hng.e4.b6	E	D97	E.Gru	gruenfeld-e
E.Gru.Rus.Hng.e4.Bg4	E	D98|D99	E.Gru	gruenfeld-e
E.KID.Sml.Cst.Nge2.c5	E	A65	E.KID	indians-e
E.Ind.e6.Nf3.c5	E	A61|A70|A71	E.Ind	indians-e
E.Ind.e6.Nf3.c5.d5	E	A61|A70|A71	E.Ind	indians-e
E.Ind.e6.Nf3.c5.d5.exd5	E	A61|A70|A71	E.Ind	indians-e
E.Ben.d5	E	A56|A60|A65	E.Ben	indians-e
E.Ben.d5.d6	E	A56	E.Ben	indians-e
E.Ben.d5.e6	E	A60|A65	E.Ben	indians-e
E.Ben.d5.e6.Nc3	E	A65	E.Ben	indians-e
E.Ben.d5.e6.Nc3.exd5	E	A65	E.Ben	indians-e
